
fruit = apple
layer = 5_point
test accuracy = tensor(96.1667, device='cuda:1')
test accuracy = tensor(97.6667, device='cuda:1')
test accuracy = tensor(97.8333, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(97.8333, device='cuda:1')
test accuracy = tensor(95.8333, device='cuda:1')
test accuracy = tensor(98., device='cuda:1')
test accuracy = tensor(98., device='cuda:1')
test accuracy = tensor(96.3333, device='cuda:1')
test accuracy = tensor(96.1667, device='cuda:1')
test accuracy = tensor(96.1667, device='cuda:1')
test accuracy = tensor(96.3333, device='cuda:1')
test accuracy = tensor(96.1667, device='cuda:1')
test accuracy = tensor(97.8333, device='cuda:1')
test accuracy = tensor(96.3333, device='cuda:1')
test accuracy = tensor(98., device='cuda:1')
test accuracy = tensor(96.8333, device='cuda:1')
test accuracy = tensor(98.1667, device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(97.1667, device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
fruit = carambola
layer = 5_point
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(95.8333, device='cuda:1')
test accuracy = tensor(99.8333, device='cuda:1')
test accuracy = tensor(99.6667, device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(99.8333, device='cuda:1')
test accuracy = tensor(99.8333, device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
fruit = guava
layer = 5_point
test accuracy = tensor(95.3333, device='cuda:1')
test accuracy = tensor(93.5000, device='cuda:1')
test accuracy = tensor(72.3333, device='cuda:1')
test accuracy = tensor(95.1667, device='cuda:1')
test accuracy = tensor(94., device='cuda:1')
test accuracy = tensor(94.3333, device='cuda:1')
test accuracy = tensor(92.6667, device='cuda:1')
test accuracy = tensor(93., device='cuda:1')
test accuracy = tensor(79.6667, device='cuda:1')
test accuracy = tensor(87.5000, device='cuda:1')
test accuracy = tensor(89., device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(92.5000, device='cuda:1')
test accuracy = tensor(94.6667, device='cuda:1')
test accuracy = tensor(90.1667, device='cuda:1')
test accuracy = tensor(95.6667, device='cuda:1')
test accuracy = tensor(91.1667, device='cuda:1')
test accuracy = tensor(97., device='cuda:1')
test accuracy = tensor(97.1667, device='cuda:1')
test accuracy = tensor(92.5000, device='cuda:1')
test accuracy = tensor(93.6667, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(96.6667, device='cuda:1')
test accuracy = tensor(93.6667, device='cuda:1')
test accuracy = tensor(96.6667, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(96.8333, device='cuda:1')
test accuracy = tensor(96.6667, device='cuda:1')
test accuracy = tensor(93., device='cuda:1')
test accuracy = tensor(96.6667, device='cuda:1')
test accuracy = tensor(97.6667, device='cuda:1')
test accuracy = tensor(94.3333, device='cuda:1')
test accuracy = tensor(97.6667, device='cuda:1')
test accuracy = tensor(98.3333, device='cuda:1')
test accuracy = tensor(93.6667, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(94., device='cuda:1')
test accuracy = tensor(96.6667, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(95.1667, device='cuda:1')
test accuracy = tensor(96.1667, device='cuda:1')
test accuracy = tensor(95.3333, device='cuda:1')
test accuracy = tensor(97.8333, device='cuda:1')
test accuracy = tensor(94., device='cuda:1')
test accuracy = tensor(97., device='cuda:1')
test accuracy = tensor(97., device='cuda:1')
test accuracy = tensor(95.5000, device='cuda:1')
test accuracy = tensor(96., device='cuda:1')
test accuracy = tensor(93.5000, device='cuda:1')
test accuracy = tensor(95.1667, device='cuda:1')
test accuracy = tensor(97.6667, device='cuda:1')
test accuracy = tensor(96.6667, device='cuda:1')
test accuracy = tensor(97.1667, device='cuda:1')
test accuracy = tensor(97.6667, device='cuda:1')
test accuracy = tensor(96.6667, device='cuda:1')
test accuracy = tensor(97.1667, device='cuda:1')
test accuracy = tensor(98., device='cuda:1')
test accuracy = tensor(96.6667, device='cuda:1')
